ball_bearing,vibration,humidity,risk_level
53.28765114989723,31.511211093845276,74.75560961549373,Medium
54.1381786219725,23.77965168077668,73.53936451496659,Medium
82.55466217131332,8.822824116582662,74.51601105721325,Low
53.451726930695536,26.66542541579626,73.71997966718654,Medium
60.74952765233135,33.67941764469349,73.78098890058776,Medium
50.08632037880475,36.609364937308236,74.77348993377282,Medium
68.37396532282959,9.91385433810815,74.45886505750067,Low
54.843684534073475,23.920573705910087,73.69988157838225,Medium
61.04563955108563,23.979704349004535,74.80127034165345,Medium
66.4193127362901,6.637720819370339,74.2452801070226,Low
75.54404810021684,7.538246827202448,74.25541948262858,Low
44.991797561103844,23.769578640343337,74.91974291499794,Medium
46.952507901455185,32.830430657177,73.74332524194027,Medium
54.93526143120437,32.161738193172965,73.5853898067197,Medium
68.79906523847052,4.013335703848773,74.16672568379482,Low
48.44310124525455,37.419656423651745,74.72414495838918,Medium
78.65046211534793,17.067037893450063,74.62686241288328,Low
31.67005126436532,57.196018091903625,75.15698067554492,High
59.38274563636823,36.453884510104885,74.78539985145308,Medium
25.937382784094567,44.770600474632865,72.66078954542441,High
31.990454207942506,40.230609958512275,75.09718080006913,High
67.41810733255151,3.6598363177499293,73.92612020182946,Low
51.723016976766274,29.322121412692166,73.60015902076023,Medium
41.77972535372012,90.60200506504614,75.02400904044984,High
47.848067379342524,36.5507522860383,73.56685700561762,Medium
42.98590301279518,48.84288162214799,75.21104396027904,High
75.41519199048872,16.87328039888422,74.35548297897093,Low
42.53187547614286,60.34206101388223,72.76898774715026,High
58.51759807027603,38.57510015905993,74.88896036037853,Medium
38.407591565756555,94.38787972973776,75.15672030836987,High
85.25208274109985,20.035510773749742,74.47393936325822,Low
67.31637319443476,12.700550554074054,74.06244198516069,Low
48.35065134334351,30.681455820618293,73.61880143683175,Medium
45.158596854127246,28.55134057828814,73.69003564212855,Medium
33.63233585203511,57.57380857400828,72.7762372238575,High
86.564193651415,7.173996468325736,74.05436881011838,Low
48.284911009096454,38.38574917281662,73.71130347560532,Medium
75.45280644862126,3.19544843512662,74.70258983321548,Low
85.09871183421441,19.45571774528662,74.41430097521578,Low
61.51301640836793,30.092547458878045,74.95655201498728,Medium
54.79057941269859,37.56083771805917,73.51405690559321,Medium
88.04173713298354,21.04687255367628,73.99016458496105,Low
22.930490299915547,93.96592012268849,73.44975801224666,High
64.542237008795,15.635848687220115,74.47555451733052,Low
20.001009993558824,43.88785109255664,75.2130448858564,High
77.09013516381575,13.134341858338402,74.69816673310648,Low
53.96128944106882,31.863960877660702,73.83028954214889,Medium
84.97083818926855,9.390710054602735,73.93601700241493,Low
77.51318192981323,16.686237786077754,74.65946435974215,Low
91.71035561593196,9.36814138955757,74.11945321945774,Low
69.52370156143422,16.418561795105944,74.37343897100698,Low
40.796554353562186,40.08696050768145,72.50070964999082,High
45.671700602497275,26.907070261740003,73.70199233259052,Medium
25.439805698156352,67.4135539680534,73.28838577465199,High
86.33294960332508,13.287947280841287,74.24672616041137,Low
20.08385268121956,57.59079259638405,73.23206698995118,High
79.4261675728789,14.788048369185864,74.5380057606431,Low
21.58946520429113,87.74554876500771,75.02636545868157,High
78.50205105950285,3.659457449457823,74.24167130092991,Low
80.43137877071062,9.400047555304743,74.24140646821327,Low
72.95065648099832,20.0787511945514,74.68267585111585,Low
38.49079335403282,44.86275264394841,73.04354625295922,High
45.88721006580512,22.283734151506575,74.90339337045737,Medium
86.47009086027026,2.9715312273145713,74.31081104986335,Low
83.14000065514465,10.725933997828976,73.99094482041407,Low
17.481550791157282,55.728361745846634,73.0730366318849,High
74.26601628061782,3.6660361622053355,74.43758224569817,Low
21.584503471361813,53.496441865862224,75.23567319704483,High
57.9208763244688,31.943585459291462,74.7464554850501,Medium
